sentence_index,sentence_length,unks,uuas_sum,uuas_triu,uuas_tril,uuas_none
1183,16,0,0.46153846153846156,0.38461538461538464,0.3076923076923077,0.38461538461538464
1184,12,1,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4444444444444444
1185,40,2,0.37142857142857144,0.37142857142857144,0.3142857142857143,0.42857142857142855
1186,45,9,0.41025641025641024,0.3076923076923077,0.38461538461538464,0.4358974358974359
1187,48,3,0.4,0.4444444444444444,0.37777777777777777,0.4222222222222222
1188,26,0,0.391304347826087,0.4782608695652174,0.2608695652173913,0.391304347826087
1189,25,1,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857
1190,41,6,0.5588235294117647,0.5,0.47058823529411764,0.5588235294117647
1191,25,3,0.43478260869565216,0.391304347826087,0.30434782608695654,0.43478260869565216
1192,25,5,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.15789473684210525
1193,9,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
1194,23,2,0.47619047619047616,0.5714285714285714,0.38095238095238093,0.5238095238095238
1195,16,2,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.38461538461538464
1196,32,1,0.5714285714285714,0.4642857142857143,0.5,0.5714285714285714
1197,16,1,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.3076923076923077
1198,24,4,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.5789473684210527
1199,23,2,0.35,0.45,0.3,0.35
1200,12,3,0.7,0.6,0.5,0.7
1201,21,2,0.4444444444444444,0.6111111111111112,0.3333333333333333,0.6111111111111112
1202,42,8,0.3611111111111111,0.3888888888888889,0.3055555555555556,0.4166666666666667
1203,14,1,0.25,0.25,0.3333333333333333,0.3333333333333333
1204,37,4,0.48484848484848486,0.48484848484848486,0.30303030303030304,0.42424242424242425
1205,7,4,0.25,0.25,0.25,0.25
1206,19,6,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.23529411764705882
1207,23,4,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.19047619047619047
1208,13,0,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.36363636363636365
1209,29,4,0.4,0.4,0.28,0.36
1210,31,3,0.37037037037037035,0.48148148148148145,0.25925925925925924,0.4074074074074074
1211,25,4,0.5,0.4090909090909091,0.5454545454545454,0.5
1212,29,5,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.2916666666666667
1213,21,3,0.3888888888888889,0.4444444444444444,0.3888888888888889,0.5
1214,15,0,0.4166666666666667,0.5,0.25,0.5
1215,11,1,0.25,0.25,0.25,0.25
1216,4,0,1.0,0.5,1.0,1.0
1217,17,1,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.3333333333333333
1218,8,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1219,22,3,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.5294117647058824
1220,9,3,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
1221,20,1,0.5625,0.5625,0.5,0.5
1222,9,3,0.3333333333333333,0.3333333333333333,0.5,0.5
1223,22,2,0.5,0.45,0.45,0.45
1224,16,1,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.38461538461538464
1225,19,1,0.4117647058823529,0.23529411764705882,0.4117647058823529,0.47058823529411764
1226,13,2,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182
1227,26,2,0.4782608695652174,0.43478260869565216,0.4782608695652174,0.4782608695652174
1228,16,3,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427
1229,24,5,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.2857142857142857
1230,11,2,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333
1231,17,1,0.4,0.3333333333333333,0.4,0.4666666666666667
1232,15,2,0.38461538461538464,0.5384615384615384,0.3076923076923077,0.38461538461538464
1233,13,0,0.5454545454545454,0.2727272727272727,0.6363636363636364,0.6363636363636364
1234,19,0,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.47058823529411764
1235,28,1,0.34615384615384615,0.38461538461538464,0.4230769230769231,0.38461538461538464
1236,12,1,0.4,0.5,0.4,0.5
1237,19,3,0.375,0.4375,0.25,0.3125
1238,17,2,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333
1239,15,3,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.3076923076923077
1240,21,3,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.4444444444444444
1241,7,2,0.4,0.4,0.4,0.4
1242,22,3,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.42105263157894735
1243,2,1,1.0,1.0,1.0,1.0
1244,6,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
1245,20,7,0.4,0.26666666666666666,0.4,0.4
1246,10,2,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857
1247,18,5,0.15384615384615385,0.0,0.23076923076923078,0.15384615384615385
1248,14,4,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222
1249,6,0,0.6666666666666666,1.0,0.6666666666666666,1.0
1250,23,2,0.38095238095238093,0.47619047619047616,0.23809523809523808,0.38095238095238093
1251,7,2,0.75,0.5,0.75,0.5
1252,14,1,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333
1253,25,5,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.3684210526315789
1254,17,1,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.4
1255,10,2,0.0,0.0,0.25,0.25
1256,6,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
1257,15,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
1258,10,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
1259,11,0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333
1260,59,nan,nan,nan,nan,nan
1261,33,7,0.3103448275862069,0.3793103448275862,0.2413793103448276,0.3103448275862069
1262,29,6,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.23076923076923078
1263,28,2,0.32,0.4,0.28,0.4
1264,7,1,0.6,0.6,0.4,0.6
1265,22,3,0.3684210526315789,0.42105263157894735,0.2631578947368421,0.42105263157894735
1266,33,9,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.1
1267,12,2,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556
1268,64,nan,nan,nan,nan,nan
1269,32,6,0.14814814814814814,0.2222222222222222,0.18518518518518517,0.18518518518518517
1270,21,2,0.3157894736842105,0.42105263157894735,0.3157894736842105,0.3684210526315789
1271,24,7,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.23809523809523808
1272,15,1,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.6923076923076923
1273,49,6,0.4358974358974359,0.46153846153846156,0.41025641025641024,0.4358974358974359
1274,22,7,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.23529411764705882
1275,20,4,0.25,0.3125,0.1875,0.3125
1276,6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1277,45,8,0.3055555555555556,0.2777777777777778,0.3888888888888889,0.3333333333333333
