sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none
100,17,0.6,0.4666666666666667,0.6,0.5333333333333333
101,15,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.45454545454545453
102,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
103,33,0.3333333333333333,0.2962962962962963,0.2962962962962963,0.3333333333333333
104,11,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
105,36,0.4838709677419355,0.3548387096774194,0.41935483870967744,0.5161290322580645
106,54,0.3695652173913043,0.34782608695652173,0.32608695652173914,0.34782608695652173
107,15,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.6666666666666666
108,33,0.3333333333333333,0.37037037037037035,0.2962962962962963,0.3333333333333333
109,32,0.4230769230769231,0.38461538461538464,0.3076923076923077,0.34615384615384615
110,40,0.43243243243243246,0.35135135135135137,0.43243243243243246,0.4864864864864865
111,8,0.4,0.4,0.4,0.4
112,22,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.42105263157894735
113,44,0.5526315789473685,0.3684210526315789,0.5263157894736842,0.5
114,18,0.5833333333333334,0.5,0.3333333333333333,0.4166666666666667
115,22,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.47058823529411764
116,22,0.42105263157894735,0.42105263157894735,0.3157894736842105,0.5263157894736842
117,13,0.3,0.4,0.3,0.3
118,26,0.3181818181818182,0.4090909090909091,0.36363636363636365,0.4090909090909091
119,21,0.4375,0.3125,0.25,0.25
120,26,0.22727272727272727,0.18181818181818182,0.3181818181818182,0.18181818181818182
121,19,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.5882352941176471
122,19,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.46153846153846156
123,5,1.0,0.5,1.0,1.0
124,24,0.47619047619047616,0.47619047619047616,0.38095238095238093,0.5238095238095238
125,21,0.3333333333333333,0.5,0.2777777777777778,0.3888888888888889
126,27,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333
127,11,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.5555555555555556
128,13,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.5454545454545454
